name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;961;0;938;3077;1819;3077;1842;0
header;153;179;153;216;1841;216;1841;179
A;989;255;989;279;1009;279;1009;255
B;955;798;955;819;972;819;972;798
B;984;900;984;924;1001;924;1001;900
B;1583;977;1583;997;1599;997;1599;977
A;1825;1336;1825;1341;1830;1341;1830;1336
A;1489;1353;1489;1357;1492;1357;1492;1353
C;980;1566;980;1590;999;1590;999;1566
D;977;2228;977;2252;998;2252;998;2228
A;1819;2369;1819;2375;1824;2375;1824;2369
B;1532;2455;1532;2475;1548;2475;1548;2455
A;1131;2859;1131;2890;1143;2890;1143;2859
A;1453;2863;1453;2893;1464;2893;1464;2863
