name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;213;0;419;3081;1098;3081;1051;0
header;211;201;211;236;1926;236;1926;201
A;879;547;879;552;885;552;885;547
A;915;548;915;565;926;565;926;548
A;879;563;879;568;885;568;885;563
A;403;578;403;581;406;581;406;578
A;930;682;930;699;940;699;940;682
B;1042;935;1042;965;1064;965;1064;935
B;630;1213;630;1234;646;1234;646;1213
A;662;1436;662;1441;668;1441;668;1436
A;663;1452;663;1457;668;1457;668;1452
C;1046;1598;1046;1628;1065;1628;1065;1598
D;1043;2238;1043;2268;1067;2268;1067;2238
A;742;2413;742;2418;747;2418;747;2413
B;668;2591;668;2607;682;2607;682;2591
A;902;2684;902;2684;902;2684;902;2684
D;766;2711;766;2729;778;2729;778;2711
B;585;2792;585;2808;599;2808;599;2792
B;678;2874;678;2891;691;2891;691;2874
