name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;272;0;364;3077;1564;3077;1472;0
header;1004;1;1004;13;1703;13;1703;1
D;1363;640;1363;659;1379;659;1379;640
B;684;684;684;705;701;705;701;684
B;1440;773;1440;795;1457;795;1457;773
B;1191;1042;1191;1062;1208;1062;1208;1042
A;1048;1386;1048;1388;1048;1388;1048;1386
D;443;1659;443;1690;480;1690;480;1659
B;1305;1849;1305;1870;1321;1870;1321;1849
B;1325;1938;1325;1960;1342;1960;1342;1938
A;1313;1983;1313;2004;1330;2004;1330;1983
B;1253;2385;1253;2406;1269;2406;1269;2385
C;360;2596;360;2622;383;2622;383;2596
