name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;256;0;325;3075;1279;3075;1048;0
header;240;148;240;184;1964;184;1964;148
A;277;434;277;435;277;435;277;434
D;975;449;975;469;992;469;992;449
B;1076;913;1076;938;1095;938;1095;913
C;478;941;478;962;495;962;495;941
C;1078;1555;1078;1579;1097;1579;1097;1555
B;426;1968;426;1988;443;1988;443;1968
D;1082;2142;1082;2167;1103;2167;1103;2142
A;651;2190;651;2195;656;2195;656;2190
A;489;2801;489;2806;494;2806;494;2801
A;489;2816;489;2822;494;2822;494;2816
